"companyName","website","reProfileUrl","field","existingValue","scrapedValue","assessment"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","companyName","incratec GmbH","incratec GmbH","equal"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","website","https://incratec.com","https://incratec.com","equal"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","description","Conversational AI for a Swiss public agency: Azure OpenAI chatbot reduces support workload, improves accessibility, and enables AI-compliant service delivery.","Tobias Kluge ist Experte für künstliche Intelligenz und Gründer der incratec GmbH. Die incratec GmbH begleitet Unternehmen umfassend bei der KI-Nutzung: von der Strategie, über Beschaffung, Einführung und Entwicklung von KI-Lösungen bis zum Training.","better"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","services","AI Engineering | AI Strategy | AI Consulting | Software Development","KI-Strategie & -Beratung | KI-Training | KI-Lösungen entwickeln | Referent zum Thema KI | Software-Entwicklung mit KI","better"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","technologies","Azure | OpenAI | Azure App Services | Microsoft Identity Platform","PHP | HCL | C# | Shell | Perl | Azure","better"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","vendorPartnerships","Microsoft","","worse"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","location","{""city"":""Stettlen"",""country"":""Switzerland""}","Stettlen, Canton of Bern, Switzerland","different"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","companySize","1","4","better"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","foundedYear","","2011","new"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","industries","","Artificial Intelligence | Technology Consulting | Software Development","new"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","recentActivity","","Azure sample repository using agentic software engineering (inc-edu-sweai-azure) | C# client for Gisgraphy.com / provided by GeoCoder Pro | PHP client for TomTom Geocoding API | PHP class for OpenEMM","new"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","githubUrl","","https://github.com/incratec","new"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","linkedinUrl","","http://www.linkedin.com/company/incratec","new"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","logoUrl","https://cdn.sanity.io/images/nvc7dfzj/production/85c11861b029d0ed3852d832a3b96c863f1c58c7-1280x720.png","https://incratec.com/wp-content/uploads/2025/08/cropped-incratec-logo-icon-full-32x32.png","different"
"incratec","https://incratec.com","https://www.rocketengineers.io/solution-providers/incratec-gmbh","confidenceScore","","95","new"
"4data","https://4data.ch/en/","https://www.rocketengineers.io/solution-providers/4data","companyName","4data","4data AG","better"
"4data","https://4data.ch/en/","https://www.rocketengineers.io/solution-providers/4data","website","https://4data.ch/en/","https://4data.ch","different"
